delivery_person_age,delivery_person_ratings,restaurant_latitude,restaurant_longitude,delivery_location_latitude,delivery_location_longitude,distance_km,road_traffic_density,weatherconditions,type_of_vehicle,order_hour,time_taken(min),group
39,4.4,13.03402674,77.61505505,13.08713495,77.52237442,11,High,Sunny,Car,7,44.6,8 - 12 km
32,5.0,12.90742616,77.56371028,13.05542412,77.56913265,16,Low,Stormy,Car,19,58.2,12 - 20 km
21,4.4,12.95623314,77.51798672,13.0892723,77.58479514,16,High,Stormy,Car,6,63.0,12 - 20 km
37,3.3,13.00237621,77.68562598,12.92552893,77.65238446,9,Low,Rainy,Bike,20,37.9,8 - 12 km
29,3.3,12.95205537,77.69272134,12.93361021,77.5694458,13,Low,Cloudy,Car,21,47.9,12 - 20 km
31,4.4,13.03406688,77.54757453,12.94834232,77.60307631,11,Jam,Cloudy,Car,4,54.4,8 - 12 km
24,4.2,12.92837761,77.6126537,12.96671434,77.66307854,7,Jam,Cloudy,Car,14,46.0,5 - 8 km
21,4.8,12.98121977,77.54126508,13.03802611,77.50247426,7,Jam,Cloudy,Bike,9,40.5,5 - 8 km
25,4.1,13.04032477,77.58960363,12.92259767,77.56489414,13,Jam,Rainy,Scooter,1,57.5,12 - 20 km
35,4.9,13.09842559,77.65008912,12.91679436,77.64342826,20,High,Sunny,Car,15,58.3,12 - 20 km
24,4.5,13.00861437,77.50166043,13.08391133,77.62890135,16,High,Cloudy,Bike,0,52.9,12 - 20 km
29,4.5,13.06791573,77.55926307,12.93714695,77.62762018,16,Medium,Sunny,Car,10,47.3,12 - 20 km
21,3.1,13.02946101,77.57124936,12.94604518,77.52726856,10,High,Rainy,Bike,18,53.0,8 - 12 km
35,4.5,13.0842155,77.69997745,12.98064447,77.5101094,24,Medium,Stormy,Scooter,9,71.4,
34,4.0,13.02529883,77.52837754,12.94549985,77.52766004,8,Jam,Sunny,Bike,6,44.6,5 - 8 km
22,4.3,12.90056046,77.66816462,13.07106556,77.65738385,18,Jam,Cloudy,Scooter,16,67.2,12 - 20 km
29,3.0,13.07812478,77.51254354,12.90175958,77.6912016,27,Medium,Cloudy,Scooter,18,79.4,
39,4.2,13.01350303,77.59376756,13.00854433,77.60335599,1,Jam,Cloudy,Scooter,1,31.9,0 - 2 km
40,3.3,12.96630836,77.63168722,13.01300465,77.58422846,7,High,Stormy,Car,10,47.3,5 - 8 km
38,3.7,13.02674934,77.66962204,12.94449666,77.64794326,9,Low,Cloudy,Car,18,39.3,8 - 12 km
37,4.5,12.97200024,77.54804767,12.98827358,77.55221624,1,Medium,Cloudy,Bike,7,19.2,0 - 2 km
34,3.5,12.95069791,77.51899294,13.00615519,77.55030843,7,Jam,Cloudy,Car,18,51.9,5 - 8 km
36,4.1,13.04711734,77.68185063,13.01337237,77.67030738,3,Low,Stormy,Bike,22,32.1,2 - 5 km
25,4.9,13.08961791,77.62531894,13.09207585,77.60303124,2,Jam,Stormy,Car,6,42.4,0 - 2 km
21,3.0,13.054996,77.52736047,13.05523278,77.51151091,1,Medium,Sunny,Scooter,19,26.3,0 - 2 km
23,4.8,12.99194114,77.52410753,12.92711901,77.68170702,18,Low,Cloudy,Car,11,47.9,12 - 20 km
31,4.0,13.04908683,77.56827907,13.05272367,77.63610393,7,High,Sunny,Bike,16,34.9,5 - 8 km
27,3.5,13.0443558,77.50870075,13.02075892,77.51992906,2,High,Sunny,Bike,6,25.6,0 - 2 km
28,3.4,12.90425664,77.69774633,12.98797566,77.65823556,10,Jam,Sunny,Bike,17,49.5,8 - 12 km
20,3.0,13.07474893,77.63391312,13.06724135,77.61766309,1,High,Rainy,Scooter,4,30.9,0 - 2 km
34,3.8,12.99679389,77.50632812,13.06743162,77.51492078,7,Jam,Stormy,Bike,19,57.3,5 - 8 km
31,4.5,12.97218649,77.60565189,12.96225139,77.52618419,8,Low,Cloudy,Bike,10,27.1,5 - 8 km
27,3.9,12.97757626,77.57073646,12.90119762,77.61583233,9,High,Cloudy,Bike,19,43.1,8 - 12 km
38,4.1,12.92916573,77.63419481,12.95453337,77.55466761,9,High,Rainy,Car,4,47.3,8 - 12 km
29,4.6,12.90682232,77.61212569,13.05418255,77.67447654,17,Jam,Sunny,Scooter,7,62.8,12 - 20 km
37,4.4,13.08772874,77.63626676,12.96079918,77.65266643,14,High,Cloudy,Scooter,10,46.9,12 - 20 km
31,3.3,12.96744326,77.56464,13.09768415,77.59629324,14,High,Cloudy,Bike,6,49.2,12 - 20 km
22,3.3,13.07419528,77.59062538,12.98910366,77.61374538,9,High,Cloudy,Car,23,43.2,8 - 12 km
25,3.6,13.04533098,77.61025409,13.08748592,77.56809344,6,Medium,Sunny,Car,11,32.0,5 - 8 km
25,3.6,12.97139534,77.65488777,12.98565394,77.67366147,2,Low,Stormy,Scooter,8,25.2,0 - 2 km
26,4.8,13.05169834,77.62528989,12.9473803,77.50401311,17,Low,Stormy,Scooter,9,54.4,12 - 20 km
38,3.7,13.02961879,77.53934219,13.04677787,77.69262803,17,Low,Sunny,Bike,4,40.9,12 - 20 km
30,4.7,12.95412653,77.62849711,12.90300139,77.56457925,9,Low,Cloudy,Scooter,0,28.4,8 - 12 km
40,4.2,12.98106357,77.63579273,12.96755496,77.51148961,13,Jam,Sunny,Bike,15,55.3,12 - 20 km
33,4.2,12.97991148,77.68804781,13.07466284,77.50514819,22,High,Rainy,Bike,23,70.7,
33,3.7,12.93133573,77.50372027,12.94209641,77.60589643,11,Low,Rainy,Scooter,21,43.8,8 - 12 km
40,3.6,13.01099895,77.63147187,13.02031383,77.56616787,7,High,Stormy,Bike,17,45.3,5 - 8 km
37,4.0,12.9906322,77.55565256,13.00466447,77.688188,14,Medium,Rainy,Bike,20,54.8,12 - 20 km
24,3.2,13.09537116,77.53011863,13.02578122,77.58016883,9,Low,Sunny,Car,17,31.6,8 - 12 km
25,4.1,13.01104956,77.53636388,13.08794948,77.57312187,9,Medium,Cloudy,Car,11,37.8,8 - 12 km
26,3.6,12.9485171,77.69646623,12.99978748,77.62722512,9,High,Stormy,Scooter,0,47.4,8 - 12 km
38,3.8,13.04667713,77.51308778,13.02909196,77.58037075,7,High,Sunny,Bike,12,35.6,5 - 8 km
31,3.4,13.02542455,77.54481656,12.95038575,77.55246416,8,Jam,Cloudy,Bike,13,46.5,5 - 8 km
24,4.6,12.95969207,77.69886231,12.94332186,77.61390465,9,Medium,Stormy,Scooter,9,40.4,8 - 12 km
21,4.8,12.9007864,77.67442014,12.94994658,77.56395364,13,Jam,Cloudy,Car,6,57.6,12 - 20 km
20,4.6,13.04710146,77.50923785,13.05478805,77.58781526,8,Jam,Cloudy,Scooter,4,47.2,5 - 8 km
32,3.2,12.90188513,77.68232142,12.9301605,77.6472032,5,Low,Cloudy,Scooter,10,23.2,2 - 5 km
20,3.1,13.03307021,77.57933502,12.9671334,77.67899524,13,Medium,Cloudy,Car,16,46.7,12 - 20 km
23,4.9,13.01497015,77.63968478,13.04570087,77.50966373,14,High,Sunny,Bike,4,46.0,12 - 20 km
22,3.7,12.90051411,77.54478246,13.00808772,77.62664027,15,Low,Rainy,Scooter,6,47.0,12 - 20 km
22,4.9,13.09441383,77.54479201,12.91447765,77.64071653,22,Low,Rainy,Scooter,6,58.5,
29,4.1,12.98162448,77.61132396,12.97252197,77.50211803,12,Low,Stormy,Car,22,49.8,8 - 12 km
32,4.5,13.09866836,77.64905395,12.95371816,77.58439235,17,Jam,Stormy,Bike,13,71.5,12 - 20 km
